COD_ID_PRODUTO,DES_PRODUTO,total_desconto
3721,DETERG LOUCA LIMPOL 500ML CRISTAL,16130.42
13447,LEITE ELEGE 1L UHT SEMIDESNATADO,15912.95
105013,LAVA ROUPAS GOTA LIMPA HARMONIA 4KG,15641.97
96948,MASSA NORDESTE 500G C/O PARAF,15420.08
77952,"REFRIG FRUKI 1,5L GUARANA PET REGULAR",15365.73
105942,VINHO MENDONZA HEIGHTS 750ML ARG TTO,15343.67
91898,CERV HEINEKEN 473ML LT,15301.63
91832,CARNE BOV BEST KG COX FORA RESF,14981.81
102796,WAFER GIRASSOL DE CHOCOLATE 60G,14772.38
1374,FEIJAO ARBAZA 1KG PRETO TP1,14601.75
66,AMEIXA NACIONAL KG,14567.97
77,BATATA DOCE ROXA KG,14536.46
4490,CAFE NESCAFE 200G VD TRADICAO,14489.12
89778,"AMACIANTE COMFORT CONC CUIDADO ESSENCIAL 1,5L",14048.08
97805,GIN GORDONS 750ML LONDON DRY,14000.00
43806,SALSICHA QUINTA VALE 2KG RESF 14CM,13860.39
13773,"REGRIGERANTE GUARANA ANTARTICA 1,5L",13654.28
100958,WHISKY WHITE HORSE BLENDED 500ML,13608.00
94849,LEITE LATVIDA 1L UHT SEMIDESNATADO,13372.93
103092,COXA SOBRECOXA LAR KG DORSAL SAMBIQUIRA CONG,13237.97
88364,*CREME CULINARIO TRIANGULO 200G,13183.81
16076,UVA COMUM KG,13171.12
92174,SNACK PRINGLES 114G ORIG,13076.25
91815,CARNE BOV ANSELMI KG ACEM VACUO RESF,12934.58
105337,"SUCO AURORA DE UVA INTEGRAL E TINTO TETRA PAK 1,5L",12806.59
13714,LEITE L VIDA PIA 1L INTEGRAL,12674.81
28327,REFRIG CHARRUA 2L GUAR,12608.38
96514,BOMBOM NEUGEBAUER 900G AMOR CARIOCA CHOC,12508.02
58662,REFRIG PEPSI 2L PET ZERO,12272.89
100503,LAVA ROUPAS EM PO OMO SUPER CONCENTRADO PERFECT WHITE 4KG,12246.68
103351,SALGADINHO ELMA CHIPS DORITOS COM QUEIJO NACHO 210G,12098.58
103107,MILHO VERDE FUGINI 170G SC CONSERV,12079.14
13442,LEITE ELEGE 1L UHT DESNAT,11880.64
96725,SOBRECOXA FRANGOSUL 1KG CONG IQF,11412.63
61494,CERV HEINEKEN 330ML LONG NECK,11402.62
103250,AGUA SANITARIA GUIMAR?ES LIMPEZA PESADA 5 LITROS,11397.53
103518,LAVA ROUPA TIXAN YPE 800G PRIMAVERA CONC,11304.02
3176,CAFE BOM JESUS 500G VACUO TORRADO E MOIDO CAIXA TRADICIONAL,11292.19
68373,FILE PEIXE COSTA SUL 500G TILAPIA S/PELE,10971.39
104061,BATATA PALHA BOA 1KG,10798.14
92814,BOMBOM GAROTO 825G SERENATA AMOR,10729.01
24565,MANTA DE BACON KG,10624.25
89212,"DETERGENTE OMO 5,6KG LAV PERF",10613.47
82650,CERV BUDWEISER 330ML OW,10551.02
