COD_ID_PRODUTO,DES_PRODUTO,total_vendido
77,BATATA DOCE ROXA KG,76458.72
11520,CERV ANTARCTICA SUBZERO 473ML LT,76306.00
9435,DETERG LOUCA YPE 500ML CLEAR CARE,75592.00
88363,FEIJAO FRITZ FRIDA PREMIUM PRETO TP1 1KG,75442.00
94433,FILEZINHO LAR SASSAMI ALMOFADA KG,75279.89
2792,AGUA MIN FLORESTA 500ML S/GAS,74309.00
85010,REFRESCO FRISCO 25G *MORANGO,74149.00
104452,REFRESO EM PO FRISCO DE MARACUJA 25G,73607.00
11534,CERV BRAHMA 350ML LT MALZBIER,73184.00
78,BATATA ROSA KG,72168.85
65413,FILEZINHO DE FRANGO SEARA IQF 1KG,71522.00
53022,CERV ORIGINAL 300ML ONE WAY,70135.00
11686,REFRIG PEPSI 2L PET,69961.00
106065,LENTILHA FRITZ FRIDA 400G PREM TP1,69583.00
1374,FEIJAO ARBAZA 1KG PRETO TP1,69502.00
104170,LENTILHA YOKI TIPO 2 500G,68380.00
989,CARNE BOV MONTANA KG COST CONG,67578.26
96952,MASSA NORDESTE 500G C/O ESPAG,67248.00
215,LIMAO TAITI KG,66836.15
103134,DETERGENTE DE LOUCA GIRANDO SOL NATURAL 500ML,66777.00
1390,SAL SALAZIR 1KG MOIDO,66334.00
11730,REFRIGERANTE FRUKI GUARANA PET 2L,66162.00
105274,REFRESCO TANG 18G MARACUJA,65412.00
99475,CHOPP SALVA BAIRRISTA PET 1L,65176.00
13727,MACARRAO MIOJO NISSIN 85G LAMEN CARNE,65064.00
105448,GELATINA APTI 20G MOR,64881.00
69538,REFRIG COCA COLA 310ML LT SLEEK,64463.00
75193,BOLINHO BAUDUCCO 27G DUO,63672.00
471,REPOLHO BRANCO KG,63613.59
63415,PEPINO DA SERRA 300G CONSERV,63599.00
437,PESSEGO KG,63381.66
102779,CERVEJA BRAHMA DUPLO MALTE 473ML,63099.00
2695,"REFRIGERANTE SARANDI PET GUARANA 1,5L",63077.00
105325,CERVEJA STELLA ARTOIS PREMIUM PURO MALTE 473ML,61513.00
7820,*NATA PIA 300G,61390.00
7521,FAROFA PRONTA YOKI 500G,60733.00
91344,VINAGRE FILIPPINI 750ML ALCOOL,60636.00
3058,BEBIDA ENERGETICA BALY ENERGY DRINK 2L,60076.00
103851,MACARR?O APTI LAMEN INSTANTANEO DE GALINHA CAIPIRA 70G,59854.00
60356,ESPONJA BRILHUS L4 P3 MULTIUSO,59290.00
3744,FARINHA TRIGO PANFACIL 1KG,58824.00
105878,REFRIG TROPHY 250ML GUAR,57874.00
98542,BEBIDA LACTEA TODDYNHO 200ML CHOC,57384.00
101148,ACHOC NESTLE 370G NESCAU,57173.00
105740,SAL SOUTO 1KG IODADO REF EXT,56455.00
103852,MACARR?O APTI LAMEN INSTANTANEO DE GALINHA 70G,56324.00
103850,MACARR?O APTI LAMEN INSTANTANEO DE CARNE 70G,56297.00
103706,QUEIJO MUSSARELA FRIOLACK FATIADO 400G,55725.00
101982,CERVEJA AMSTEL ULTRA PURO MALTE SEM GLUTEN LONG NECK 275ML,55372.00
1727,FARINHA MILHO BEATRIZ 1KG,55072.00
9927,ESPONJA ESFREBOM L4 P3 4544,54848.00
94951,WAFER ISABELA 100G CHOCOLATE SUICO,54666.00
35609,SABONETE REXONA 84G BARRA ACTIVE,54469.00
104322,CERV TCHE WAY 1L PILSEN,53996.00
